company_name, url, city, photo_url
Renaissance's Women's Business Center,http://www.rencenter.org/locations/wbc/,San Francisco,https://images.unsplash.com/photo-1517457133997-cca417e4a561?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=627501e086cfa4004d74dcc44624a889&auto=format&fit=crop&w=500&q=60
Girls in Tech,http://sanfrancisco.girlsintech.org/,San Francisco,https://images.unsplash.com/photo-1450297428000-5f0b50540da9?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=e84a9a7cc5e0b4353521a0821f87b808&auto=format&fit=crop&w=500&q=60
Shatter Fund,http://shatterfund.com/,San Francisco,https://images.unsplash.com/photo-1493655430214-3dd7718460bb?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=d59e6e39af2cf874d6f6ed48f80d82fe&auto=format&fit=crop&w=500&q=60
Score,https://sanfrancisco.score.org/,San Francisco,https://images.unsplash.com/photo-1500771471050-fb3ee40b66c2?ixlib=rb-0.3.5&s=8f1ca51b337decb9dd707d2ff0eeddd8&auto=format&fit=crop&w=500&q=60
Medtech Women,http://medtechwomen.org/,San Francisco,https://images.unsplash.com/photo-1480997945751-3d54b83c7871?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=f1e386c39d09fac01def202429bacb56&auto=format&fit=crop&w=500&q=60
Women in Consulting,http://www.womeninconsulting.org/,San Jose,https://images.unsplash.com/photo-1491956142110-8a4226a12077?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=9d65bd7937511c934d4b450d31f2c1ec&auto=format&fit=crop&w=500&q=60
Golden Seeds,http://www.goldenseeds.com/,New York,https://images.unsplash.com/photo-1517176762686-ef539d1e698e?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=59bbf7e2eda0aff70130130ae71fee1e&auto=format&fit=crop&w=500&q=60
Small Business Development Center,http://www.sfsbdc.org/,San Francisco,https://images.unsplash.com/photo-1497393007523-302c86e07c5d?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=f486a568fd0f7359e58d2d7f98232c7f&auto=format&fit=crop&w=500&q=60
Change the Ratio,http://changetheratio.tumblr.com/,San Francisco,https://images.unsplash.com/photo-1520785145672-94e9abd8b121?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=55b0597f8c20556e59af99591c23dd9c&auto=format&fit=crop&w=500&q=60
The BOSS Network,http://www.thebossnetwork.org/,San Francisco,https://images.unsplash.com/photo-1485856407642-7f9ba0268b51?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=9c2bca0bb61f47e9da0fa59ec698c981&auto=format&fit=crop&w=500&q=60
Women 2.0,http://www.women2.com/about/,San Francisco,https://images.unsplash.com/photo-1518622358385-8ea7d0794bf6?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=42226a7bf3b99eec89267859b4f36114&auto=format&fit=crop&w=500&q=60
Power to Fly,https://powertofly.com/,New York,https://images.unsplash.com/photo-1461280360983-bd93eaa5051b?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=7f9131387458d5d69b21403d03f9a25b&auto=format&fit=crop&w=500&q=60
Women Who Code,https://www.womenwhocode.com/,San Francisco,https://images.unsplash.com/photo-1498661367879-c2085689eed4?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=bcaf08c3cf4049827e7162028a26bbe9&auto=format&fit=crop&w=500&q=60
She Knows,http://www.sheknows.com/,San Francisco,https://images.unsplash.com/photo-1498661694102-0a3793edbe74?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=4c99615be6d35d1d5c1541f54a72dd30&auto=format&fit=crop&w=500&q=60
